PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_req=130 ttl=64 time=0.499 ms
64 bytes from 10.0.0.2: icmp_req=131 ttl=64 time=0.493 ms
64 bytes from 10.0.0.2: icmp_req=132 ttl=64 time=0.504 ms
64 bytes from 10.0.0.2: icmp_req=133 ttl=64 time=0.506 ms
64 bytes from 10.0.0.2: icmp_req=134 ttl=64 time=0.399 ms
64 bytes from 10.0.0.2: icmp_req=135 ttl=64 time=0.494 ms
64 bytes from 10.0.0.2: icmp_req=136 ttl=64 time=0.495 ms
64 bytes from 10.0.0.2: icmp_req=137 ttl=64 time=0.493 ms
64 bytes from 10.0.0.2: icmp_req=138 ttl=64 time=0.497 ms
64 bytes from 10.0.0.2: icmp_req=139 ttl=64 time=0.451 ms
64 bytes from 10.0.0.2: icmp_req=140 ttl=64 time=0.499 ms
64 bytes from 10.0.0.2: icmp_req=141 ttl=64 time=0.502 ms
64 bytes from 10.0.0.2: icmp_req=142 ttl=64 time=0.408 ms
64 bytes from 10.0.0.2: icmp_req=143 ttl=64 time=0.390 ms
64 bytes from 10.0.0.2: icmp_req=144 ttl=64 time=0.496 ms
64 bytes from 10.0.0.2: icmp_req=145 ttl=64 time=0.528 ms
64 bytes from 10.0.0.2: icmp_req=146 ttl=64 time=0.498 ms
64 bytes from 10.0.0.2: icmp_req=147 ttl=64 time=0.415 ms
64 bytes from 10.0.0.2: icmp_req=148 ttl=64 time=0.545 ms
64 bytes from 10.0.0.2: icmp_req=149 ttl=64 time=0.480 ms
64 bytes from 10.0.0.2: icmp_req=150 ttl=64 time=0.497 ms
64 bytes from 10.0.0.2: icmp_req=151 ttl=64 time=0.475 ms
64 bytes from 10.0.0.2: icmp_req=152 ttl=64 time=0.499 ms
64 bytes from 10.0.0.2: icmp_req=153 ttl=64 time=0.497 ms
64 bytes from 10.0.0.2: icmp_req=154 ttl=64 time=0.499 ms
64 bytes from 10.0.0.2: icmp_req=155 ttl=64 time=0.499 ms
64 bytes from 10.0.0.2: icmp_req=156 ttl=64 time=0.478 ms
64 bytes from 10.0.0.2: icmp_req=157 ttl=64 time=0.499 ms
64 bytes from 10.0.0.2: icmp_req=158 ttl=64 time=0.398 ms
64 bytes from 10.0.0.2: icmp_req=159 ttl=64 time=0.452 ms
64 bytes from 10.0.0.2: icmp_req=160 ttl=64 time=0.497 ms
64 bytes from 10.0.0.2: icmp_req=161 ttl=64 time=0.495 ms
64 bytes from 10.0.0.2: icmp_req=162 ttl=64 time=0.491 ms
64 bytes from 10.0.0.2: icmp_req=163 ttl=64 time=0.499 ms
64 bytes from 10.0.0.2: icmp_req=164 ttl=64 time=0.490 ms
64 bytes from 10.0.0.2: icmp_req=165 ttl=64 time=0.493 ms
64 bytes from 10.0.0.2: icmp_req=166 ttl=64 time=0.475 ms
64 bytes from 10.0.0.2: icmp_req=167 ttl=64 time=0.499 ms
64 bytes from 10.0.0.2: icmp_req=168 ttl=64 time=0.457 ms
64 bytes from 10.0.0.2: icmp_req=169 ttl=64 time=0.498 ms
64 bytes from 10.0.0.2: icmp_req=170 ttl=64 time=0.508 ms
64 bytes from 10.0.0.2: icmp_req=171 ttl=64 time=0.495 ms
64 bytes from 10.0.0.2: icmp_req=172 ttl=64 time=0.500 ms
64 bytes from 10.0.0.2: icmp_req=173 ttl=64 time=0.500 ms
64 bytes from 10.0.0.2: icmp_req=174 ttl=64 time=0.506 ms
64 bytes from 10.0.0.2: icmp_req=175 ttl=64 time=0.497 ms
64 bytes from 10.0.0.2: icmp_req=176 ttl=64 time=0.493 ms
64 bytes from 10.0.0.2: icmp_req=177 ttl=64 time=0.496 ms
64 bytes from 10.0.0.2: icmp_req=178 ttl=64 time=0.480 ms
64 bytes from 10.0.0.2: icmp_req=179 ttl=64 time=0.497 ms
64 bytes from 10.0.0.2: icmp_req=180 ttl=64 time=0.398 ms
64 bytes from 10.0.0.2: icmp_req=181 ttl=64 time=0.495 ms
64 bytes from 10.0.0.2: icmp_req=182 ttl=64 time=0.498 ms
64 bytes from 10.0.0.2: icmp_req=183 ttl=64 time=0.500 ms
64 bytes from 10.0.0.2: icmp_req=184 ttl=64 time=0.494 ms
64 bytes from 10.0.0.2: icmp_req=185 ttl=64 time=0.497 ms
64 bytes from 10.0.0.2: icmp_req=186 ttl=64 time=0.504 ms
64 bytes from 10.0.0.2: icmp_req=187 ttl=64 time=0.501 ms
64 bytes from 10.0.0.2: icmp_req=188 ttl=64 time=0.527 ms
64 bytes from 10.0.0.2: icmp_req=189 ttl=64 time=0.476 ms
64 bytes from 10.0.0.2: icmp_req=190 ttl=64 time=0.486 ms
64 bytes from 10.0.0.2: icmp_req=191 ttl=64 time=0.508 ms
64 bytes from 10.0.0.2: icmp_req=192 ttl=64 time=0.494 ms
64 bytes from 10.0.0.2: icmp_req=193 ttl=64 time=0.536 ms
64 bytes from 10.0.0.2: icmp_req=194 ttl=64 time=0.497 ms
64 bytes from 10.0.0.2: icmp_req=195 ttl=64 time=0.551 ms
64 bytes from 10.0.0.2: icmp_req=196 ttl=64 time=0.499 ms
64 bytes from 10.0.0.2: icmp_req=197 ttl=64 time=0.508 ms
64 bytes from 10.0.0.2: icmp_req=198 ttl=64 time=0.490 ms
64 bytes from 10.0.0.2: icmp_req=199 ttl=64 time=0.496 ms
64 bytes from 10.0.0.2: icmp_req=200 ttl=64 time=0.458 ms
64 bytes from 10.0.0.2: icmp_req=201 ttl=64 time=0.483 ms
64 bytes from 10.0.0.2: icmp_req=202 ttl=64 time=0.472 ms
64 bytes from 10.0.0.2: icmp_req=203 ttl=64 time=0.476 ms
64 bytes from 10.0.0.2: icmp_req=204 ttl=64 time=0.499 ms
64 bytes from 10.0.0.2: icmp_req=205 ttl=64 time=0.484 ms
64 bytes from 10.0.0.2: icmp_req=206 ttl=64 time=0.458 ms
64 bytes from 10.0.0.2: icmp_req=207 ttl=64 time=0.470 ms
64 bytes from 10.0.0.2: icmp_req=208 ttl=64 time=0.466 ms
64 bytes from 10.0.0.2: icmp_req=209 ttl=64 time=0.497 ms
64 bytes from 10.0.0.2: icmp_req=210 ttl=64 time=0.474 ms
64 bytes from 10.0.0.2: icmp_req=211 ttl=64 time=0.479 ms
64 bytes from 10.0.0.2: icmp_req=212 ttl=64 time=0.470 ms
64 bytes from 10.0.0.2: icmp_req=213 ttl=64 time=0.481 ms
64 bytes from 10.0.0.2: icmp_req=214 ttl=64 time=0.482 ms
64 bytes from 10.0.0.2: icmp_req=215 ttl=64 time=0.466 ms
64 bytes from 10.0.0.2: icmp_req=216 ttl=64 time=0.454 ms
64 bytes from 10.0.0.2: icmp_req=217 ttl=64 time=0.463 ms
64 bytes from 10.0.0.2: icmp_req=218 ttl=64 time=0.462 ms
